Movie Name,IMDB Rating,Description,Votes,Director(s),Stars,Metascore,Movie Genre,Total Duration
Star Trek: Picard,7.4,"12 | 42 min | Action, Adventure, Drama","4,739",['Hanelle M. Culpepper'],"['Patrick Stewart', 'Alison Pill', 'Isa Briones', 'Michelle Hurd']",,"Action, Adventure, Drama",42 min
Mismatched,5.6,The movie will be a romantic film featuring two people who are not right for each other. The story is about Prajakta's character who is a tech wizard and the guy who is interested in her.,"4,714",,"['Prajakta Koli', 'Rohit Saraf', 'Muskkaan Jaferi', 'Devyani Shorey']",,"Comedy, Drama, Romance",30 min
Valley of Tears,7.6,"On October 6th 1973, the Middle East was shaken by the biggest war it had ever seen. A war that should have been the last one, and that forever changed the region.","4,708",,"['Avraham Aviv Alush', 'Lior Ashkenazi', 'Shahar Tavoch', 'Imri Biton']",,"Drama, War",45 min
Ju-on: Origins,6.1,"Honjo Haruka is a rookie actress. She hears the sounds of footsteps at night in her house. When she learns of psychic researcher Odajima Yasuo from a TV variety program, she seeks counseling from him about her problem.","4,707",,"['Yoshiyoshi Arakawa', 'Yuina Kuroshima', 'Seiko Iwaidô', 'Brock Powell']",,"Drama, Horror, Mystery",30 min
Star Trek: Discovery,7.2,"15 | 53 min | Action, Adventure, Drama","4,680",['Olatunde Osunsanmi'],"['Sonequa Martin-Green', 'Doug Jones', 'Anthony Rapp', 'Mary Wiseman']",,"Action, Adventure, Drama",53 min
Naxalbari,7.8,STF agent Raghav goes on a secret mission to curtail the revival of a naxal uprising in Gadchiroli. But the war becomes too personal as he digs deeper and tries to uncover the larger plan of the uprising.,"4,680",,"['Rajeev Khandelwal', 'Tina Dutta', 'Sreejita De', 'Satyadeep Misra']",,"Action, Crime, Thriller",29 min
The Outsider,8.6,"15 | 60 min | Crime, Drama, Fantasy","4,677",['Jason Bateman'],"['Ben Mendelsohn', 'Bill Camp', 'Jeremy Bobb', 'Julianne Nicholson']",,"Crime, Drama, Fantasy",60 min
Breaking Surface,6.2,A winter diving trip in Norway turns into a desperate race against time for two sisters when one of them becomes trapped at the bottom of the ocean by falling rocks.,"4,666",['Joachim Hedén'],"['Moa Gammel', 'Madeleine Martin', 'Trine Wiggen', 'Jitse Jonathan Buitink']",,"Adventure, Drama, Horror",82 min
Beasts That Cling to the Straw,7.0,"A struggling restaurant owner, caring for his sick mom, finds a bag of cash in a sauna locker, while a customs officer gets into trouble when his girlfriend runs off with money he borrowed from a loan shark.","4,659",['Kim Yong-hoon'],"['Jeon Do-yeon', 'Jung Woo-sung', 'Sung-Woo Bae', 'Youn Yuh-jung']",,"Crime, Drama, Thriller",108 min
Ozark,8.7,"15 | 57 min | Crime, Drama, Thriller","4,640",['Alik Sakharov'],"['Jason Bateman', 'Laura Linney', 'Sofia Hublitz', 'Skylar Gaertner']",,"Crime, Drama, Thriller",57 min
The Paper Tigers,6.3,"Three Kung Fu prodigies have grown into washed-up, middle-aged men, now one kick away from pulling their hamstrings. But when their master is murdered, they must juggle their dead-end jobs, dad duties, and old grudges to avenge his death.","4,637",['Quoc Bao Tran'],"['Kieran Tamondong', 'Yuji Okumoto', 'Ron Yuan', 'Yoshi Sudarso']",67,"Action, Comedy",108 min
American Utopia,8.2,"Spike Lee documents the former Talking Heads frontman's brilliant, timely 2019 Broadway show, based on his recent album and tour of the same name.","4,637",['Spike Lee'],"['David Byrne', 'Jacqueline Acevedo', 'Gustavo Di Dalva', 'Daniel Freedman']",93,"Documentary, Music, Musical",105 min
Phineas and Ferb the Movie: Candace Against the Universe,7.1,The famed stepbrother inventors know what they're gonna do today. They're gonna rescue their sister from an alien abduction.,"4,626",['Bob Bowen'],"['Vincent Martella', 'Dee Bradley Baker', 'Ashley Tisdale', 'David Errigo Jr.']",77,"Animation, Adventure, Comedy",86 min
Vikings,8.3,"12 | 44 min | Action, Adventure, Drama","4,624",['Steve Saint Leger'],"['Katheryn Winnick', 'Alexander Ludwig', 'John Kavanagh', 'Alex Høgh Andersen']",,"Action, Adventure, Drama",44 min
Chintu Ka Birthday,7.7,"During US invasion of Iraq some illegal migrants are waiting to get back home to India. As one such family prepares to celebrate the 6th birthday of their youngest member Chintu, their kind-hearted Iraqi landlord lends them a helping hand.","4,621","['Devanshu Singh', 'Satyanshu Singh']","['Vinay Pathak', 'Tillotama Shome', 'Seema Pahwa', 'Khaled Masso']",,"Comedy, Drama, War",80 min
"Good Morning, Verônica",7.6,"After witnessing a suicide, an unobtrusive police clerk decides to investigate two neglected cases on her own, both involving abused women.","4,611",,"['Tainá Müller', 'Silvio Guindane', 'Elisa Volpatto', 'Adriano Garib']",,"Crime, Drama, Mystery",49 min
Sex Education,8.1,"15 | 51 min | Comedy, Drama","4,610",['Ben Taylor'],"['Asa Butterfield', 'Gillian Anderson', 'Ncuti Gatwa', 'Emma Mackey']",,"Comedy, Drama",51 min
Selena: The Series,6.9,"Late Tejano singer Selena as her dreams come true, and her family makes life-changing choices on the singer's journey to success.","4,597",,"['Christian Serratos', 'Gabriel Chavarria', 'Ricardo Chavira', 'Noemi Gonzalez']",,"Biography, Drama, Music",40 min
Dance of the 41,6.8,"At the end of the 19th century, Ignacio de la Torre married the daughter of the president of Mexico, Porfirio Díaz. Ignacio leads a double life: he rises in the traditional world of politics while being a member of a clandestine society.","4,593",['David Pablos'],"['Alfonso Herrera', 'Emiliano Zurita', 'Mabel Cadena', 'Fernando Becerril']",,"Biography, Drama, History",99 min
Star Trek: Picard,6.9,"15 | 45 min | Action, Adventure, Drama","4,586",['Jonathan Frakes'],"['Patrick Stewart', 'Alison Pill', 'Evan Evagora', 'Michelle Hurd']",,"Action, Adventure, Drama",45 min
Pareeksha,8.1,The film revolves around the story of an ordinary rickshaw driver in Bihar who aspires and dreams of providing a maximum possible quality education to his son by making arrangements for him to study at a private English medium school.,"4,581","['Prakash Jha', 'Saurabh Choubey']","['Adil Hussain', 'Priyanka Bose', 'Shourya Deep', 'Shubham']",,Drama,120 min
Just Another Christmas,6.7,"Stuck in a time loop where it's forever Christmas, a family man who hates the holiday starts to learn valuable lessons about what's important in life.","4,578",['Roberto Santucci'],"['Arianne Botelho', 'Kevin Andrew Rivera', 'Neto Cajado', 'Louise Cardoso']",,"Comedy, Drama",100 min
Butterfly Swimming,7.6,A film of a woman swimming in a pool is distributed through the internet. Now her husband and her brother are after finding the one who is responsible for that and taking revenge on him.,"4,578","['Amirhossein Ashrafi', 'Mohammad Kart', 'Arastoosohrabinya']","['Javad Ezati', 'Tannaz Tabatabaei', 'Amir Aghaee', 'Pantea Bahram']",,"Crime, Drama, Mystery",120 min
The Superdeep,4.9,A small research team went down below the surface to find out what secret the world's deepest borehole was hiding. What they have found turned out to be the greatest threat in history. And the future of humanity is in their hands.,"4,563","['Arseny Syuhin', 'Sergey Torchilin']","['Milena Radulovic', 'Sergey Ivanyuk', 'Nikolay Kovbas', 'Vadim Demchog']",,"Horror, Sci-Fi, Thriller",115 min
1 Interrogation,4.0,"Detective Bill Daniels has spent the last 40 years in the interrogation unit. Some are criminals, some are victims. Faced with the truth, some lie, some are defiant and some find redemption.","4,560",['Dan Hewitt Owens'],"['Dan Hewitt Owens', 'Charidy Wronski', 'Tom Arnold', 'Danni Tamburro']",,Crime,95 min
The Thing About Harry,6.8,Two high school enemies are forced to drive together to a friend's engagement party on Valentine's Day.,"4,559",['Peter Paige'],"['Jake Borelli', 'Niko Terho', 'Britt Baron', 'Peter Paige']",,"Comedy, Drama, Romance",85 min
Lost Girls and Love Hotels,4.7,"Haunted by her past, an English teacher explores love and dust with a dashing yakuza gangster in Tokyo.","4,550",['William Olsson'],"['Alexandra Daddario', 'Takehiro Hira', 'Carice van Houten', 'Andrew Rothney']",57,Drama,97 min
Ozark,8.1,"15 | 60 min | Crime, Drama, Thriller","4,548",['Jason Bateman'],"['Tom Pelphrey', 'Jason Bateman', 'Julia Garner', 'Laura Linney']",,"Crime, Drama, Thriller",60 min
Mookuthi Amman,6.6,Goddess Mookuthi Amman descends on Earth and uses a television reporter to expose fake godmen.,"4,544","['RJ Balaji', 'N.J. Saravanan']","['Nayanthara', 'RJ Balaji', 'Urvashi', 'Smruthi Venkat']",,"Comedy, Drama, Fantasy",134 min
Ted Lasso,8.6,"Caution | 31 min | Comedy, Drama, Sport","4,538",['M.J. Delaney'],"['Jason Sudeikis', 'Hannah Waddingham', 'Jeremy Swift', 'Phil Dunster']",,"Comedy, Drama, Sport",31 min
The Haunting of Bly Manor,7.7,"15 | 54 min | Drama, Horror, Mystery","4,533",['Mike Flanagan'],"['Victoria Pedretti', 'Oliver Jackson-Cohen', 'Amelia Eve', ""T'Nia Miller""]",,"Drama, Horror, Mystery",54 min
There Is No Evil,7.5,The four stories that are variations on the crucial themes of moral strength and the death penalty that ask to what extent individual freedom can be expressed under a despotic regime and its seemingly inescapable threats.,"4,530",['Mohammad Rasoulof'],"['Baran Rasoulof', 'Zhila Shahi', 'Mohammad Seddighimehr', 'Ehsan Mirhosseini']",82,Drama,151 min
Small Axe,7.9,Small Axe is based on the real-life experiences of London's West Indian community between 1969 and 1982.,"4,528",,"['Naomi Ackie', 'Gary Beadle', 'Neal Barry', 'Khali Best']",,"Drama, History",60 min
The Debt Collector 2,5.8,"A pair of debt collectors are thrust into an explosively dangerous situation, chasing down various lowlifes while also evading a vengeful kingpin. -Samuel Goldwyn Films-","4,528",['Jesse V. Johnson'],"['Scott Adkins', 'Louis Mandylor', 'Vladimir Kulich', 'Marina Sirtis']",,"Action, Comedy",97 min
Eltilerin Savasi,5.8,"Known for their devotion to social media, Gizem and Sultan's understanding of marriage is different. Two women enter into an endless competition with each other.","4,527",['Onur Bilgetay'],"['Gupse Ozay', 'Merve Dizdar', 'Ferit Aktug', 'Uraz Kaygilaroglu']",,"Comedy, Family",118 min
All Together Now,6.5,An optimistic high schooler with musical aspirations must learn to accept help from her friends to overcome her personal hardships and fulfill her dreams.,"4,519",['Brett Haley'],"[""Auli'i Cravalho"", 'Rhenzy Feliz', 'Justina Machado', 'Judy Reyes']",64,Drama,92 min
The Haunting of Bly Manor,8.2,"15 | 51 min | Drama, Horror, Mystery","4,517",['E.L. Katz'],"['Victoria Pedretti', 'Oliver Jackson-Cohen', 'Amelia Eve', ""T'Nia Miller""]",,"Drama, Horror, Mystery",51 min
All My Life,6.3,A couple's wedding plans are thrown off course when the groom is diagnosed with liver cancer.,"4,514",['Marc Meyers'],"['Jessica Rothe', 'Harry Shum Jr.', 'Marielle Scott', 'Chrissie Fit']",39,"Drama, Romance",91 min
A Secret Love,7.8,"Falling in love in 1947, two women -- Pat Henschel and pro baseball player Terry Donahue -- begin a 65-year journey of love and overcoming prejudice.","4,508",['Chris Bolan'],"['Terry Donahue', 'Pat Henschel', 'Diana Bolan', 'Kim Donahue']",77,"Documentary, Drama",81 min
12 Hour Shift,5.5,Bodies start to pile up when a drug-user nurse and her cousin try to find a replacement kidney for an organ trafficker.,"4,491",['Brea Grant'],"['Angela Bettis', 'Julianne Dowler', 'Tom DeTrinis', 'Nikea Gamby-Turner']",63,"Comedy, Horror, Thriller",86 min
Ares,5.7,"An Amsterdam student joins a secret society that has been around since the Dutch Golden Age, but must decide how far she is willing to go to rise up the ranks.","4,486",,"['Jade Olieberg', 'Tobias Kersloot', 'Lisa Smit', 'Frieda Barnhard']",,"Drama, Horror, Mystery",32 min
Magic Camp,6.3,"At the urging of his former mentor and Magic Camp owner Roy Preston, Andy returns as a counselor to the camp of his youth hoping to reignite his career.","4,484",['Mark Waters'],"['Adam Devine', 'Jeffrey Tambor', 'Gillian Jacobs', 'Nathaniel Logan McIntyre']",,"Comedy, Family, Fantasy",100 min
Guilty,5.4,"When a college heartthrob is accused of rape by a less popular student, his girlfriend navigates various versions of the story in search of the truth.","4,480",['Ruchi Narain'],"['Kiara Advani', 'Taher Shabbir', 'Akansha Ranjan Kapoor', 'Gurfateh Pirzada']",,"Drama, Thriller",119 min
Long Way Up,8.2,"Ewan McGregor and his friend Charley Boorman travel on electric Harley-Davidsons 13,000 miles through Central and South America.","4,472",,"['Ewan McGregor', 'Charley Boorman', 'Russ Malkin', 'David Alexanian']",,"Documentary, Adventure, Reality-TV",519 min
Earwig and the Witch,4.8,"An orphan girl, Earwig, is adopted by a witch and comes home to a spooky house filled with mystery and magic.","4,472",['Gorô Miyazaki'],"['Taylor Henderson', 'Jazmín Abuín', 'JB Blanc', 'Tom Bromhead']",46,"Animation, Adventure, Family",82 min
Night on Earth,8.1,"This nature series' new technology lifts night's veil to reveal the hidden lives of the world's creatures, from lions on the hunt to bats on wings.","4,466",,"['Samira Wiley', 'Alessandra Mastronardi', 'Beren Saat']",,Documentary,290 min
Devils,7.1,A worldwide financial conspiracy is discovered by a group of traders of a large investment bank.,"4,457",,"['Pia Mechler', 'Alessandro Borghi', 'Malachi Kirby', 'Patrick Dempsey']",,"Drama, Thriller",50 min
Tremors: Shrieker Island,5.4,"When a group of hunters genetically modify Graboid eggs, they face an all-out war against the larger, terrifyingly intelligent Graboids, and the swiftly multiplying Shriekers.","4,448",['Don Michael Paul'],"['Michael Gross', 'Jon Heder', 'Richard Brake', 'Caroline Langrishe']",,"Action, Adventure, Comedy",103 min
The Mole: Undercover in North Korea,8.3,A real-life undercover thriller about two ordinary men who embark on an outrageously dangerous ten-year mission to penetrate the world's most secretive and brutal dictatorship: North Korea.,"4,434",['Mads Brügger'],"['Ulrich Løvenskjold Larsen', 'Mads Brügger', 'Alejandro Cao de Benos de Les y Pérez', 'Jim Latrache-Qvortrup']",,"Documentary, Thriller",123 min
Star Trek: Picard,7.2,"12 | 44 min | Action, Adventure, Drama","4,432",['Jonathan Frakes'],"['Patrick Stewart', 'Alison Pill', 'Isa Briones', 'Evan Evagora']",,"Action, Adventure, Drama",44 min
Don't Tell a Soul,5.9,"Two thieving teenage brothers, stealing money to help their sick mom, match wits with a troubled security guard stuck at the bottom of a forgotten well.","4,428",['Alex McAulay'],"['Jack Dylan Grazer', 'Fionn Whitehead', 'Rainn Wilson', 'Mena Suvari']",45,"Drama, Thriller",83 min
Monday,5.8,"A spark on a Friday can lead to a sizzling weekend fling (Sebastian Stan and Denise Gough as Mickey and Chloe), but what happens when you get to the inevitable Monday?","4,419",['Argyris Papadimitropoulos'],"['Denise Gough', 'Sebastian Stan', 'Yorgos Pirpassopoulos', 'Michalis Laios']",58,"Drama, Romance",116 min
Avrodh the Siege Within,7.7,It is a War Thriller based on the theme of Indian Army and Uri Surgical Strike.,"4,417",,"['Neeraj Kabi', 'Anant Mahadevan', 'Amit Sadh', 'Abir Chatterjee']",,Action,40 min
History 101,6.8,It is a new type of history show for a new type of audience: Big History delivered in an unadulterated hit of premium archive and jaw-dropping infographics.,"4,417",,['Natalie Silverman'],,"Documentary, History",22 min
Looks That Kill,6.3,The story of a teenage boy who deals with the ups and downs of being lethally attractive.,"4,410",['Kellen Moore'],"['Brandon Flynn', 'Tom Proctor', 'Annie Mumolo', 'Peter Scolari']",,"Comedy, Drama, Romance",92 min
The Baker and the Beauty,7.4,A blue-collar baker strikes up a relationship with an international superstar. US version of the Israeli romantic comedy series 'The Baker and the Beauty'.,"4,406",,"['Victor Rasuk', 'Nathalie Kelley', 'Dan Bucatinsky', 'David Del Rio']",,"Comedy, Drama, Romance",43 min
The Beast,5.2,An unstable veteran tries to rescue his kidnapped daughter and unleashes the beast within himself during his quest. He quickly becomes suspected himself.,"4,402",['Ludovico Di Martino'],"['Fabrizio Gifuni', 'Lino Musella', 'Monica Piseddu', 'Andrea Pennacchi']",,"Action, Crime, Drama",97 min
Sex Education,8.4,"15 | 54 min | Comedy, Drama","4,397",['Ben Taylor'],"['Asa Butterfield', 'Gillian Anderson', 'Ncuti Gatwa', 'Emma Mackey']",,"Comedy, Drama",54 min
Star Trek: Picard,8.3,"15 | 58 min | Action, Adventure, Drama","4,397",['Douglas Aarniokoski'],"['Patrick Stewart', 'Alison Pill', 'Isa Briones', 'Evan Evagora']",,"Action, Adventure, Drama",58 min
The Umbrella Academy,8.2,"15 | 47 min | Action, Adventure, Comedy","4,386",['Sylvain White'],"['Elliot Page', 'Tom Hopper', 'David Castañeda', 'Emmy Raver-Lampman']",,"Action, Adventure, Comedy",47 min
